school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
SOICT,F,18,U,GT3,T,4,4,services,teacher,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,3.5,3.5,3.5
SOICT,F,19,U,LE3,T,2,2,services,services,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,6,6.5,6.5
SOICT,F,18,U,LE3,T,4,2,health,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,5.5,6.5,6.5
SOICT,M,18,U,LE3,A,4,2,health,health,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,1,5.5,5.5,5
SOICT,F,18,U,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,4,5,5.5
SOICT,F,18,U,LE3,A,3,3,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,0,5,6.5,6.5
SOICT,F,19,U,GT3,A,2,1,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,1,4,4.5,5
SOICT,F,18,U,GT3,A,4,3,services,services,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,7,7.5,7.5
SOICT,M,18,U,GT3,T,4,4,teacher,health,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,7,7.5,7.5
SOICT,M,18,U,LE3,T,1,2,other,at_home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,4.5,5,4.5
SOICT,F,19,U,GT3,T,4,2,services,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,7.5,8,8
SOICT,F,19,R,GT3,T,4,4,health,teacher,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,3,5,5.5,5.5
SOICT,F,19,U,GT3,T,1,1,services,services,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,3,5,4,5.5
SOICT,F,19,U,LE3,T,1,2,other,services,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,4,5,4.5
SOICT,F,19,U,GT3,T,4,3,teacher,health,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,5,4.5,4.5
SOICT,F,18,U,LE3,T,4,3,services,services,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,5,5,5
SOICT,F,19,U,LE3,T,4,3,teacher,services,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,8,7.5,7.5
SOICT,M,18,U,GT3,A,4,4,other,services,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,6.5,6.5,6
SOICT,F,19,U,GT3,T,3,1,services,other,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,3.5,3.5,3
SOICT,F,18,R,LE3,T,2,2,health,services,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,4,4.5,4
SOICT,F,18,R,LE3,T,3,1,other,other,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,0,8,8,8
SOICT,M,19,U,GT3,T,3,1,other,other,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,6.5,7.5,7.5
SOICT,M,18,U,GT3,T,4,2,other,other,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,5,5,5
SOICT,F,18,R,GT3,T,1,1,other,other,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,4,3,2.5
SOICT,M,19,U,GT3,T,3,1,other,other,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,6,6,7
SOICT,F,19,U,GT3,T,3,3,other,services,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,3,5.5,6,5.5
SOICT,M,18,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,1,4.5,4.5,5
SOICT,M,18,U,GT3,T,4,0,teacher,other,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,5.5,5.5,5
SOICT,F,19,U,GT3,T,2,2,other,other,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,5.5,5.5,5.5
SOICT,M,20,U,GT3,T,2,1,other,other,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,4,4,5
SOICT,F,19,U,GT3,T,3,4,at_home,other,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,2,2.5,2.5,2.5
SOICT,M,18,U,GT3,T,2,3,other,services,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,5,6,6
SOICT,M,18,U,GT3,T,2,3,other,other,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,5.5,5,5.5
SOICT,F,18,U,LE3,T,3,2,services,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,2,3.5,3,3
SOICT,M,18,U,LE3,T,2,2,services,services,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,7.5,7.5,7.5
SOICT,F,18,U,GT3,T,1,1,other,other,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,4.5,5,5
SOICT,F,18,U,GT3,T,4,4,services,services,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,3,3.5,4.5,4
SOICT,F,19,U,LE3,T,2,2,at_home,other,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,4,3.5,3
SOICT,F,18,U,GT3,T,4,2,other,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,6.5,7,7
SOICT,M,19,U,GT3,T,2,2,services,other,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,4,5.5,5,5
SOICT,M,19,U,LE3,A,4,4,teacher,health,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,4,4,3,3.5
SOICT,F,19,U,GT3,T,3,3,other,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,3.5,3.5,4
SOICT,F,18,U,GT3,T,4,3,services,other,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,8,8.5,9
SOICT,F,19,U,LE3,T,3,1,other,other,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,3.5,3,3
SOICT,F,19,U,GT3,T,4,2,teacher,services,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,5.5,5,5
SOICT,M,18,U,LE3,T,2,2,services,health,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,3,5.5,6.5,7
SOICT,F,18,R,GT3,T,1,1,at_home,other,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,3.5,5,5
SOICT,M,19,R,GT3,T,4,3,services,other,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,5.5,7.5,7.5
SOICT,F,19,U,GT3,T,2,1,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,4,4.5,5
SOICT,F,19,U,GT3,T,4,4,other,other,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,5.5,7,7
SOICT,F,19,U,GT3,T,4,3,other,at_home,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,3.5,4.5,4
SOICT,M,19,U,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,3,3.5,3.5,2.5
SOICT,M,19,U,GT3,T,4,4,services,teacher,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,8,8.5,8.5
SOICT,M,18,U,GT3,T,4,4,services,other,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,5,6.5,7
SOICT,F,18,U,GT3,T,3,2,services,other,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,0,3.5,3,3
SOICT,M,18,U,GT3,A,3,4,services,other,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,8,9,9
SOICT,F,18,U,GT3,A,3,3,other,health,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,2,5,5.5,5.5
SOICT,F,18,U,GT3,T,2,2,other,other,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,0,3.5,4,4
SOICT,M,19,U,GT3,T,3,3,services,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,8,9,9
SOICT,M,18,R,GT3,T,4,4,other,other,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,0,5,6.5,6.5
SOICT,F,19,U,LE3,T,4,4,health,health,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,7,7.5,8
SOICT,M,18,U,LE3,A,4,4,teacher,teacher,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,4,9,9.5,9.5
SOICT,F,19,R,GT3,T,3,3,services,other,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,3.5,5,5
SOICT,F,19,U,GT3,T,2,2,at_home,other,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,4,5,6.5,6.5
SOICT,M,18,U,LE3,T,4,2,teacher,other,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,0,9,9.5,9.5
SOICT,M,18,R,GT3,T,2,1,health,services,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,3,4.5,4.5,4.5
SOICT,M,19,U,GT3,T,4,4,teacher,teacher,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,7.5,7.5,8
SOICT,M,18,U,GT3,T,4,4,other,teacher,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,5.5,6.5,7
SOICT,M,19,U,GT3,T,3,3,other,services,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,6.5,7,6.5
SOICT,M,20,R,GT3,T,1,3,other,other,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,4,4.5,3.5,4
SOICT,M,18,U,GT3,T,3,4,other,other,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,0,7,6.5,6.5
SOICT,F,18,U,GT3,T,1,2,at_home,services,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,8,7.5,7.5
SOICT,M,18,U,GT3,T,2,2,services,services,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,0,8,7,7.5
SOICT,F,19,U,LE3,T,2,4,other,health,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,6.5,6.5,6.5
SOICT,M,19,U,GT3,T,4,4,health,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,2,7,5.5,6.5
SOICT,F,19,U,GT3,T,2,2,other,other,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,4,3.5,4
SOICT,M,18,U,GT3,T,3,4,services,services,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,6.5,6.5,6
SOICT,F,18,U,LE3,A,3,4,other,other,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,3.5,5,5.5
SOICT,F,19,U,GT3,T,0,1,at_home,other,other,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,3.5,4,4.5
SOICT,M,18,R,GT3,T,2,2,services,other,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0,3.5,2,0
SOICT,M,19,R,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,2,9,9,9
SOICT,F,18,R,GT3,T,3,4,services,teacher,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,6,0,0
SOICT,F,18,U,GT3,T,1,1,at_home,other,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,4,0,0
SOICT,F,20,U,LE3,T,2,2,other,other,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,2,5,6.5,6
SOICT,F,19,U,GT3,A,3,4,services,other,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,0,6,5.5,5.5
SOICT,M,18,R,GT3,T,3,4,at_home,teacher,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,0,4.5,0,0
SOICT,F,18,U,GT3,T,4,4,services,at_home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0,5.5,0,0
SOICT,M,20,R,GT3,T,3,4,at_home,other,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0,5,0,0
SOICT,F,19,U,GT3,A,3,3,other,other,other,2,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,2,0,0
SOICT,M,19,U,LE3,T,1,1,services,other,mother,1,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,7,6,6
SOICT,F,18,U,GT3,T,4,4,teacher,teacher,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,8,8,7.5
SOICT,M,18,U,GT3,T,4,3,teacher,services,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,0,3.5,4.5,0
SOICT,M,19,U,LE3,T,2,2,services,services,father,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,3,4.5,4.5,4.5
SOICT,F,18,U,GT3,T,4,4,teacher,services,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,4.5,5.5,5.5
SOICT,F,19,U,LE3,T,1,1,at_home,at_home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,2,7,7,6.5
SOICT,M,20,U,GT3,T,2,1,other,other,mother,1,1,3,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,0,2.5,0,0
SOICT,F,18,U,GT3,T,1,1,other,services,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,2,5,0,4,5.5,5.5
SOICT,F,18,U,GT3,T,3,2,health,services,father,1,2,3,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,0,3,3.5,0
SOICT,F,18,U,GT3,T,1,2,at_home,other,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,5,2,5,5.5,5.5
SOICT,M,19,U,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,0,3.5,3,0
SOICT,M,18,U,LE3,A,2,1,services,other,mother,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,4,4.5,5
SOICT,M,18,U,LE3,T,1,1,other,other,mother,1,1,3,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,3,2.5,0
SOICT,M,19,U,LE3,T,2,1,at_home,other,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,4,6,6.5,7
SOICT,F,18,R,GT3,T,3,3,services,services,other,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,2,5,5,5
SOICT,M,19,U,GT3,T,3,2,services,at_home,mother,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,0,2.5,0,0
SOICT,F,20,U,GT3,T,4,4,other,teacher,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,5.5,5.5,6
SOICT,M,18,R,GT3,T,2,3,at_home,services,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,2,5.5,4,4
SOICT,M,20,R,LE3,T,1,2,other,other,mother,1,1,0,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,3,8,6,6.5
SOICT,F,18,R,GT3,T,1,1,at_home,other,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,4,4.5,4,5
SOICT,M,19,R,GT3,T,2,2,at_home,other,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,8.5,7.5,7.5
SOICT,M,19,U,GT3,T,3,3,other,services,father,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,4,5,6,6
SOICT,M,20,R,LE3,T,2,1,at_home,other,mother,2,1,2,no,no,no,yes,yes,no,yes,yes,3,3,2,2,2,5,0,3.5,3,0
SOICT,M,18,R,GT3,T,3,2,other,other,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,1,4,3,4,2.5,4.5,3.5
SOICT,M,19,U,LE3,T,1,2,other,other,mother,2,1,1,no,no,no,yes,yes,yes,no,no,4,4,4,2,4,5,0,3.5,0,0
SOICT,M,20,U,GT3,T,1,3,at_home,services,father,1,1,0,no,no,no,no,yes,no,yes,no,5,3,3,1,4,2,2,5,5,5
SOICT,M,20,R,LE3,T,1,1,other,services,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0,2.5,4,3.5
SOICT,M,19,U,GT3,T,3,2,services,services,mother,2,1,1,no,yes,no,yes,no,no,no,no,4,5,2,1,1,2,2,6,5.5,6
SOICT,M,19,U,GT3,T,2,2,other,other,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,2,4,4,4,5,5,5
SOICT,F,19,U,GT3,T,4,2,health,services,father,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,1,1,3,0,7,7.5,8
SOICT,F,19,U,GT3,T,2,2,other,other,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,1,5,1,1,4,0,3,3.5,0
SOICT,F,19,U,GT3,T,4,4,health,health,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,1,3,0,7,7,7
SOICT,M,19,U,GT3,T,3,4,other,other,father,3,1,2,no,yes,no,yes,no,yes,yes,no,3,4,5,2,4,2,0,3,2.5,0
SOICT,M,19,U,GT3,T,1,0,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,2,6.5,7.5,8
SOICT,M,20,U,LE3,T,4,4,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,5,0,6.5,5.5,5
SOICT,F,19,U,GT3,T,1,3,at_home,services,mother,1,2,3,no,no,no,yes,no,yes,yes,yes,4,3,5,1,1,3,0,4,3.5,0
SOICT,F,19,U,LE3,T,3,3,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,1,4,4,5,5.5,4.5
SOICT,M,20,U,LE3,T,4,3,teacher,other,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,4,4,4,4,4,4,4,5,4.5,4.5
